path,on_pad,best_overlap,pad_frame_count,dog_frame_count,total_frames_checked,best_confidence
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-23-50.mp4,False,0.0,0,7,32,0.825
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-29-20.mp4,True,0.184,7,50,132,0.873
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-30-23.mp4,True,0.855,10,68,148,0.871
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-31-33.mp4,True,0.081,6,142,264,0.906
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-33-43.mp4,False,0.024,0,19,48,0.874
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-34-34.mp4,True,1.0,27,48,96,0.847
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-37-29.mp4,False,0.0,0,20,70,0.837
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-38-01.mp4,False,0.0,0,1,32,0.597
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-38-24.mp4,False,0.004,0,12,36,0.84
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-38-54.mp4,True,0.144,3,16,40,0.889
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-39-13.mp4,False,0.0,0,2,32,0.849
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-39-41.mp4,False,0.0,0,3,32,0.694
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-39-56.mp4,False,0.0,0,27,40,0.777
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-40-26.mp4,True,0.77,14,66,80,0.897
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-41-02.mp4,False,0.001,0,13,40,0.87
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-43-25.mp4,False,0.0,0,10,32,0.756
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-44-11.mp4,False,0.0,0,2,32,0.668
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-44-41.mp4,False,0.025,0,26,32,0.811
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-44-53.mp4,False,0.011,0,9,44,0.771
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-46-21.mp4,True,0.359,3,19,72,0.904
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-47-11.mp4,False,0.0,0,3,44,0.831
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-47-56.mp4,True,0.087,15,27,64,0.853
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-49-35.mp4,False,0.021,0,2,80,0.705
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-50-16.mp4,False,0.004,0,2,56,0.825
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 15-05-36.mp4,False,0.044,0,17,48,0.88
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 15-48-55.mp4,False,0.0,0,2,100,0.508
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-09-41.mp4,False,0.0,0,2,99,0.483
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-10-30.mp4,True,0.185,51,66,272,0.796
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-12-40.mp4,True,0.185,8,8,42,0.582
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-12-58.mp4,True,0.115,6,63,140,0.873
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-22-21.mp4,True,0.055,1,27,220,0.774
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-25-45.mp4,False,0.0,0,6,68,0.858
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-26-19.mp4,True,0.629,15,19,56,0.791
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-30-55.mp4,False,0.047,0,20,200,0.873
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-32-31.mp4,False,0.0,0,6,36,0.715
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-32-50.mp4,False,0.0,0,18,136,0.806
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-44-38.mp4,False,0.036,0,31,148,0.803
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-45-49.mp4,False,0.034,0,55,80,0.777
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-46-29.mp4,True,0.051,1,31,76,0.813
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-54-17.mp4,True,0.089,2,11,36,0.657
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-54-36.mp4,True,0.147,18,28,46,0.892
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-54-56.mp4,True,0.112,3,29,40,0.837
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-55-13.mp4,False,0.03,0,9,36,0.837
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 16-56-05.mp4,False,0.041,0,27,88,0.792
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-05-48.mp4,True,1.0,67,69,140,0.926
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-06-53.mp4,True,1.0,30,30,48,0.753
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-07-17.mp4,True,1.0,48,48,68,0.759
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-07-49.mp4,True,1.0,62,71,152,0.842
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-12-08.mp4,False,0.0,0,10,60,0.798
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-15-27.mp4,False,0.0,0,1,36,0.645
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 17-17-48.mp4,False,0.005,0,17,56,0.816
