path,dog_detected,best_confidence,dog_frame_count,total_frames_checked
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-53-29.mp4,TRUE,0.791,5,44
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-54-06.mp4,FALSE,0,0,40
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-55-21.mp4,TRUE,0.861,6,52
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-58-55.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-59-24.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 13-59-44.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-04-01.mp4,TRUE,0.898,51,68
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-04-34.mp4,TRUE,0.658,6,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-05-42.mp4,TRUE,0.857,4,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-15-38.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-16-03.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-21-16.mp4,TRUE,0.791,24,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-21-36.mp4,TRUE,0.909,57,60
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-22-02.mp4,TRUE,0.893,32,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-22-19.mp4,TRUE,0.872,64,80
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-23-27.mp4,TRUE,0.864,36,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-23-50.mp4,TRUE,0.825,7,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-28-33.mp4,FALSE,0,0,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-28-51.mp4,FALSE,0,0,40
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-29-20.mp4,TRUE,0.873,49,132
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-30-23.mp4,TRUE,0.871,66,148
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-31-33.mp4,TRUE,0.906,141,264
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-33-43.mp4,TRUE,0.874,19,48
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-34-05.mp4,FALSE,0,0,40
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-34-34.mp4,TRUE,0.847,45,96
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-37-29.mp4,TRUE,0.837,18,70
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-38-01.mp4,TRUE,0.597,1,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-38-24.mp4,TRUE,0.84,11,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-38-54.mp4,TRUE,0.889,16,40
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-39-13.mp4,TRUE,0.849,2,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-39-26.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-39-41.mp4,TRUE,0.694,3,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-39-56.mp4,TRUE,0.777,27,40
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-40-26.mp4,TRUE,0.897,66,80
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-41-02.mp4,TRUE,0.87,13,40
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-41-58.mp4,FALSE,0,0,36
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-43-25.mp4,TRUE,0.756,9,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-44-11.mp4,TRUE,0.668,2,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-44-41.mp4,TRUE,0.811,26,32
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-44-53.mp4,TRUE,0.771,9,44
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-46-21.mp4,TRUE,0.904,19,72
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-47-11.mp4,TRUE,0.831,2,44
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-47-56.mp4,TRUE,0.853,24,64
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-49-35.mp4,TRUE,0.705,2,80
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-50-16.mp4,TRUE,0.825,2,56
C:\Users\jaysh\TapoVideos\Computer Camera\2026-02-22\2026-02-22 14-52-15.mp4,FALSE,0,0,44
